date,cellvalue,n_cells,pct_cells
2018-01-15,15,1732,0.16753724124588895
2018-01-15,17,1,9.67305088024763e-5
2018-01-15,21,6084,0.5885084155542658
2018-01-15,27,9,8.705745792222867e-4
2018-01-15,NA,535,0.05175082220932482
2018-02-15,3,104,0.010059972915457535
2018-02-15,11,2732,0.2642677500483653
2018-02-15,13,4,3.869220352099052e-4
2018-02-15,15,2434,0.2354420584252273
2018-02-15,21,4839,0.4680789320951828
2018-02-15,27,11,0.0010640355968272394
2018-02-15,NA,214,0.02070032888372993
2018-03-15,3,11,0.0010640355968272394
2018-03-15,11,714,0.06906558328496808
2018-03-15,15,2975,0.287773263687367
2018-03-15,21,5817,0.5626813697040046
2018-03-15,27,1,9.67305088024763e-5
2018-03-15,NA,820,0.07931901721803057
2018-04-15,3,179,0.017314761075643257
2018-04-15,7,79,0.007641710195395628
2018-04-15,11,2064,0.1996517701683111
2018-04-15,13,11,0.0010640355968272394
2018-04-15,15,1592,0.15399497001354226
2018-04-15,21,5974,0.5778680595859934
2018-04-15,27,1,9.67305088024763e-5
2018-04-15,NA,438,0.04236796285548462
2018-05-15,3,90,0.008705745792222866
2018-05-15,7,305,0.02950280518475527
2018-05-15,11,1818,0.1758560650029019
2018-05-15,13,8,7.738440704198104e-4
2018-05-15,14,2,1.934610176049526e-4
2018-05-15,15,1231,0.11907525633584833
2018-05-15,17,1,9.67305088024763e-5
2018-05-15,21,6705,0.6485780615206036
2018-05-15,27,9,8.705745792222867e-4
2018-05-15,NA,169,0.016347455987618494
2018-06-15,3,134,0.012961888179531825
2018-06-15,5,1,9.67305088024763e-5
2018-06-15,7,675,0.0652930934416715
2018-06-15,11,980,0.094795898626426775
2018-06-15,13,6,5.803830528148578e-4
2018-06-15,14,25,0.0024182627200619077
2018-06-15,15,97,0.0093828593538402
2018-06-15,17,6,5.803830528148578e-4
2018-06-15,21,642,0.062100986651189787
2018-06-15,NA,7772,0.7517895144128458
2018-07-15,3,97,0.0093828593538402
2018-07-15,7,790,0.07641710195395628
2018-07-15,11,665,0.06432578835364675
2018-07-15,13,4,3.869220352099052e-4
2018-07-15,14,54,0.00522344747533372
2018-07-15,15,2,1.934610176049526e-4
2018-07-15,17,3,2.901915264074289e-4
2018-07-15,21,633,0.0612304120719675
2018-07-15,NA,8090,0.7825498162120332
2018-08-15,3,22,0.0021280711936544788
2018-08-15,7,481,0.0465273747339911
2018-08-15,11,90,0.008705745792222866
2018-08-15,14,104,0.010059972915457535
2018-08-15,21,356,0.03443606113368156
2018-08-15,NA,9285,0.8981427742309924
2018-09-15,3,38,0.0036757593344940993
2018-09-15,7,425,0.041110466241052426
2018-09-15,11,132,0.012768427161926872
2018-09-15,13,1,9.67305088024763e-5
2018-09-15,14,88,0.008512284774617915
2018-09-15,15,39,0.0037724898432965758
2018-09-15,17,2,1.934610176049526e-4
2018-09-15,21,677,0.06548655445927645
2018-09-15,NA,8936,0.8643838266589282
2018-10-15,3,1514,0.1464499903269491
2018-10-15,5,1,9.67305088024763e-5
2018-10-15,7,2238,0.21648287869994196
